Postcode,Latitude,Longitude
AB1 2HN,57.142437,-2.101359
AB1 2HP,57.141773,-2.101027
AB1 2HQ,57.141862,-2.101572
AB1 2HR,57.141279,-2.10081
AB1 2HS,57.141162,-2.10124
AB1 2HT,57.140749,-2.100528
AB1 2HU,57.144726,-2.103117
AB1 2HW,57.144852,-2.103266
AB1 2HX,57.140722,-2.101073
AB1 2HY,57.144871,-2.101845
AB1 2HZ,57.144476,-2.101745
AB1 2JA,57.140012,-2.100444
AB1 2JB,57.140156,-2.101006
AB1 2JD,57.139491,-2.101004
AB1 2JE,57.14215,-2.100532
AB1 2JF,57.142169,-2.099739
AB1 2JG,57.141863,-2.100399
AB1 2JH,57.141818,-2.100118
AB1 2JJ,57.144916,-2.10201
AB1 2JL,57.1448,-2.101167
AB1 2JN,57.144342,-2.1011
AB1 2JP,57.143237,-2.100452
AB1 2JQ,57.142429,-2.100615
AB1 2JR,57.142402,-2.10045
AB1 2JS,57.141037,-2.100099
AB1 2JT,57.138478,-2.098622
AB1 2JU,57.139287,-2.097633
AB1 2JW,57.143679,-2.098718
AB1 2JX,57.137913,-2.097613
AB1 2JY,57.140763,-2.10489
AB1 2JZ,57.140494,-2.104857
AB1 2LA,57.138038,-2.098274
AB1 2LB,57.135712,-2.097062
AB1 2LD,57.139731,-2.104408
AB1 2LE,57.135712,-2.097062
AB1 2LF,57.140185,-2.09747
AB1 2LG,57.138781,-2.10196
AB1 2LH,57.135066,-2.096729
AB1 2LJ,57.139583,-2.098807
AB1 2LL,57.139878,-2.0996
AB1 2LN,57.140435,-2.10018
AB1 2LP,57.140641,-2.10104
AB1 2LQ,57.140036,-2.104822
AB1 2LR,57.140729,-2.102527
AB1 2LS,57.14116,-2.10271
AB1 2LT,57.143868,-2.098256
AB1 2LU,57.141331,-2.103157
AB1 2LW,57.141438,-2.10324
AB1 2LX,57.143868,-2.098256
AB1 2LY,57.145233,-2.098128
AB1 2LZ,57.145395,-2.098145
AB1 2NA,57.144434,-2.097679
AB1 2NB,57.145162,-2.097632
AB1 2ND,57.145917,-2.097551
AB1 2NE,57.145513,-2.096079
AB1 2NF,57.145324,-2.096806
AB1 2NG,57.145755,-2.097319
AB1 2NH,57.145665,-2.096988
AB1 2NJ,57.144983,-2.096276
AB1 2NL,57.145727,-2.098707
AB1 2NN,57.145125,-2.099135
AB1 2NP,57.145095,-2.091517
AB1 2NQ,57.145844,-2.098261
AB1 2NR,57.145691,-2.098707
AB1 2NS,57.144548,-2.090342
AB1 2NT,57.143955,-2.090374
AB1 2NU,57.146006,-2.097849
AB1 2NX,57.146689,-2.097421
AB1 2NY,57.145852,-2.099303
AB1 2NZ,57.145601,-2.099104
AB1 2PA,57.146465,-2.097354
AB1 2PB,57.144397,-2.087863
AB1 2PE,57.14605,-2.099584
AB1 2PF,57.146318,-2.101386
AB1 2PG,57.143117,-2.079829
AB1 2PH,57.143965,-2.088077
AB1 2PJ,57.1444,-2.095035
AB1 2PL,57.146007,-2.096775
AB1 2PN,57.142792,-2.095494
AB1 2PP,57.143108,-2.09333
AB1 2PQ,57.142273,-2.092237
AB1 2PR,57.141277,-2.091408
AB1 2PS,57.141537,-2.091525
AB1 2PT,57.141637,-2.09055
AB1 2PU,57.144548,-2.090342
AB1 2PW,57.14497,-2.090178
AB1 2PX,57.142257,-2.089593
AB1 2PY,57.146402,-2.096478
AB1 2PZ,57.145747,-2.095617
AB1 2QA,57.14164,-2.086617
AB1 2QB,57.141227,-2.085675
AB1 2QD,57.140742,-2.085558
AB1 2QE,57.145594,-2.096228
AB1 2QF,57.145666,-2.096658
AB1 2QG,57.141369,-2.088534
AB1 2QH,57.139811,-2.094098
AB1 2QJ,57.141247,-2.095853
AB1 2QL,57.140853,-2.093803
AB1 2QN,57.142343,-2.094699
AB1 2QP,57.142138,-2.093278
AB1 2QR,57.141348,-2.092251
AB1 2QS,57.140891,-2.090763
AB1 2QT,57.140458,-2.093835
AB1 2QU,57.14138,-2.084882
AB1 2QW,57.140726,-2.095984
AB1 2QX,57.140897,-2.095307
